,dataset_code,frequency,date,value,z_score
195077,EAHR,monthly,2018-11-01,116.5,2.6682670568898117
195090,EAHR,monthly,2019-12-01,116.3,2.646785075874246
195094,EAHR,monthly,2020-04-01,46.9,-4.807462336526969
195095,EAHR,monthly,2020-05-01,61.2,-3.271500693914038
195097,EAHR,monthly,2020-07-01,115.3,2.5393751707964185
195100,EAHR,monthly,2020-10-01,119.7,3.0119787531388593
195101,EAHR,monthly,2020-11-01,116.0,2.614562104350898
195102,EAHR,monthly,2020-12-01,119.1,2.947532810092162
195107,EAHR,monthly,2021-05-01,115.0,2.507152199273071
195113,EAHR,monthly,2021-11-01,120.0,3.0442017246622073
197243,EAHS,monthly,2013-12-01,147.1,2.5566698469057836
197255,EAHS,monthly,2014-12-01,151.7,2.7062676149280227
197279,EAHS,monthly,2016-12-01,148.0,2.585938975431874
197291,EAHS,monthly,2017-12-01,146.7,2.543661345338632
197303,EAHS,monthly,2018-12-01,150.9,2.6802506117937206
197315,EAHS,monthly,2019-12-01,148.0,2.585938975431874
197400,EAHT,monthly,1989-12-01,121.7,2.536510445861636
197412,EAHT,monthly,1990-12-01,121.9,2.5490255245278797
197764,EAHT,monthly,2020-04-01,26.3,-3.433182077936423
197765,EAHT,monthly,2020-05-01,30.7,-3.1578503472790698
197773,EAHT,monthly,2021-01-01,35.0,-2.888776155954839
197774,EAHT,monthly,2021-02-01,35.3,-2.870003537955474
197775,EAHT,monthly,2021-03-01,36.6,-2.7886555266248925
197795,EAHT,monthly,2022-11-01,130.4,3.08091636784322
197796,EAHT,monthly,2022-12-01,140.6,3.7191853798216283
171180,EAHT,annual,2023-01-01,127.4,2.8931901878495703
197800,EAHT,monthly,2023-04-01,128.1,2.9369929631814213
197801,EAHT,monthly,2023-05-01,138.0,3.5564893571604657
197802,EAHT,monthly,2023-06-01,135.5,3.400050873832424
197803,EAHT,monthly,2023-07-01,144.8,3.9820020318127387
197804,EAHT,monthly,2023-08-01,131.7,3.1622643791738008
197805,EAHT,monthly,2023-09-01,122.2,2.567798142527244
197806,EAHT,monthly,2023-10-01,122.1,2.561540603194122
197807,EAHT,monthly,2023-11-01,134.4,3.3312179411680862
197808,EAHT,monthly,2023-12-01,131.6,3.1560068398406793
197815,EAHT,monthly,2024-07-01,121.5,2.5239953671953925
197816,EAHT,monthly,2024-08-01,122.3,2.5740556818603655
197820,EAHT,monthly,2024-12-01,123.7,2.661661232524069
200719,EAHU,monthly,2006-12-01,164.5,2.640395501532936
200731,EAHU,monthly,2007-12-01,162.5,2.5699701489421356
200743,EAHU,monthly,2008-12-01,160.9,2.513629866869495
200948,EAHV,monthly,1988-12-01,147.5,3.09708617739589
200960,EAHV,monthly,1989-12-01,147.8,3.118793883560165
200972,EAHV,monthly,1990-12-01,142.8,2.7569987808222596
201324,EAHV,monthly,2020-04-01,52.8,-3.7553130684600484
201330,EAHV,monthly,2020-10-01,161.6,4.117348367116785
201331,EAHV,monthly,2020-11-01,159.9,3.994338032185897
201336,EAHV,monthly,2021-04-01,139.3,2.503742208905725
201337,EAHV,monthly,2021-05-01,147.0,3.0609066671220995
203954,EAHW,monthly,2016-12-01,136.8,2.7780282195927337
203966,EAHW,monthly,2017-12-01,140.0,2.89014138708883
203978,EAHW,monthly,2018-12-01,135.3,2.725475172328938
203990,EAHW,monthly,2019-12-01,144.4,3.0442969923959637
204002,EAHW,monthly,2020-12-01,141.9,2.956708580289638
204014,EAHW,monthly,2021-12-01,146.8,3.1283818680180366
204026,EAHW,monthly,2022-12-01,148.0,3.1704243058290724
204038,EAHW,monthly,2023-12-01,140.4,2.9041555330258424
204050,EAHW,monthly,2024-12-01,162.6,3.681940632530015
204063,EAHX,monthly,1988-12-01,115.7,2.5094526078017663
204075,EAHX,monthly,1989-12-01,119.1,2.839929776392948
204087,EAHX,monthly,1990-12-01,116.4,2.577492024864657
204352,EAHX,monthly,2013-01-01,60.3,-2.875381256889856
204423,EAHX,monthly,2018-12-01,116.2,2.5580521914181165
204435,EAHX,monthly,2019-12-01,120.4,2.9662886937954602
204439,EAHX,monthly,2020-04-01,48.0,-4.070931013852075
204442,EAHX,monthly,2020-07-01,125.4,3.452284529958964
204447,EAHX,monthly,2020-12-01,120.7,2.99544844396527
204452,EAHX,monthly,2021-05-01,119.5,2.8788094432860287
204457,EAHX,monthly,2021-10-01,118.9,2.8204899429464088
204458,EAHX,monthly,2021-11-01,125.5,3.4620044466822333
204459,EAHX,monthly,2021-12-01,116.2,2.5580521914181165
257979,EAPG,monthly,2019-12-01,129.5,2.6496368571336513
257983,EAPG,monthly,2020-04-01,38.5,-2.7368532465281294
257984,EAPG,monthly,2020-05-01,24.7,-3.5537055919185967
258003,EAPG,monthly,2021-12-01,141.4,3.3540240245355766
258014,EAPG,monthly,2022-11-01,170.4,5.070597793834386
258015,EAPG,monthly,2022-12-01,184.1,5.881530919330719
258039,EAPG,monthly,2024-12-01,128.6,2.5963638780864464
259723,EAPH,monthly,2016-12-01,123.9,2.5112609929007657
259735,EAPH,monthly,2017-12-01,127.6,2.6921093453572946
259759,EAPH,monthly,2019-12-01,127.2,2.6725581721187512
259794,EAPH,monthly,2022-11-01,125.7,2.599241272474212
259795,EAPH,monthly,2022-12-01,152.1,3.889618706218096
259801,EAPH,monthly,2023-06-01,124.3,2.530812166139309
259802,EAPH,monthly,2023-07-01,126.9,2.6578947921898437
259803,EAPH,monthly,2023-08-01,131.6,2.8876210777427316
259805,EAPH,monthly,2023-10-01,124.5,2.540587752758581
259806,EAPH,monthly,2023-11-01,145.1,3.547473174543581
259807,EAPH,monthly,2023-12-01,162.3,4.388173623800961
259814,EAPH,monthly,2024-07-01,128.8,2.7507628650729266
259815,EAPH,monthly,2024-08-01,134.3,3.019591497102902
259816,EAPH,monthly,2024-09-01,127.4,2.6823337587380234
259818,EAPH,monthly,2024-11-01,131.1,2.863182111194552
259819,EAPH,monthly,2024-12-01,174.4,4.9795966142669075
261543,EAPI,monthly,2020-04-01,19.3,-2.7593723447686855
261574,EAPI,monthly,2022-11-01,115.0,2.825993667012779
